,house_fias_id,data,geo_lat,geo_lon,street,house,qc,result,qc_geo,ad_id
434,2ac044d1-278a-46a0-a049-a76716bb2393,"{'source': 'Томская область; Томск; р-н Кировский; улица Богдана Хмельницкого; 43', 'result': 'г Томск, ул Богдана Хмельницкого, д 43', 'postal_code': '634033', 'country': 'Россия', 'country_iso_code': 'RU', 'federal_district': 'Сибирский', 'region_fias_id': '889b1f3a-98aa-40fc-9d3d-0f41192758ab', 'region_kladr_id': '7000000000000', 'region_iso_code': 'RU-TOM', 'region_with_type': 'Томская обл', 'region_type': 'обл', 'region_type_full': 'область', 'region': 'Томская', 'area_fias_id': None, 'area_kladr_id': None, 'area_with_type': None, 'area_type': None, 'area_type_full': None, 'area': None, 'city_fias_id': 'e3b0eae8-a4ce-4779-ae04-5c0797de66be', 'city_kladr_id': '7000000100000', 'city_with_type': 'г Томск', 'city_type': 'г', 'city_type_full': 'город', 'city': 'Томск', 'city_area': None, 'city_district_fias_id': None, 'city_district_kladr_id': None, 'city_district_with_type': None, 'city_district_type': None, 'city_district_type_full': None, 'city_district': None, 'settlement_fias_id': None, 'settlement_kladr_id': None, 'settlement_with_type': None, 'settlement_type': None, 'settlement_type_full': None, 'settlement': None, 'street_fias_id': '1c0c3578-251a-46ce-947a-60fa6d365a80', 'street_kladr_id': '70000001000083700', 'street_with_type': 'ул Богдана Хмельницкого', 'street_type': 'ул', 'street_type_full': 'улица', 'street': 'Богдана Хмельницкого', 'stead_fias_id': None, 'stead_kladr_id': None, 'stead_cadnum': None, 'stead_type': None, 'stead_type_full': None, 'stead': None, 'house_fias_id': '2ac044d1-278a-46a0-a049-a76716bb2393', 'house_kladr_id': '7000000100008370128', 'house_cadnum': None, 'house_type': 'д', 'house_type_full': 'дом', 'house': '43', 'block_type': None, 'block_type_full': None, 'block': None, 'entrance': None, 'floor': None, 'flat_fias_id': None, 'flat_cadnum': None, 'flat_type': None, 'flat_type_full': None, 'flat': None, 'flat_area': None, 'square_meter_price': None, 'flat_price': None, 'postal_box': None, 'fias_id': '2ac044d1-278a-46a0-a049-a76716bb2393', 'fias_code': '70000001000000008370128', 'fias_level': '8', 'fias_actuality_state': '0', 'kladr_id': '7000000100008370128', 'capital_marker': '2', 'okato': '69401000000', 'oktmo': '69701000001', 'tax_office': '7000', 'tax_office_legal': '7000', 'timezone': 'UTC+7', 'geo_lat': '56.4545288', 'geo_lon': '85.007634', 'beltway_hit': None, 'beltway_distance': None, 'qc_geo': 0, 'qc_complete': 5, 'qc_house': 2, 'qc': 0, 'unparsed_parts': None, 'metro': None}",56.4545288,85.007634,Богдана Хмельницкого,43,0,"г Томск, ул Богдана Хмельницкого, д 43",0,286789401
435,6e396a9e-6b4c-49be-b784-eef35291d6bc,"{'source': 'Томская область; Томск; р-н Кировский; улица Мокрушина; 12А', 'result': 'г Томск, ул Мокрушина, д 12А', 'postal_code': '634045', 'country': 'Россия', 'country_iso_code': 'RU', 'federal_district': 'Сибирский', 'region_fias_id': '889b1f3a-98aa-40fc-9d3d-0f41192758ab', 'region_kladr_id': '7000000000000', 'region_iso_code': 'RU-TOM', 'region_with_type': 'Томская обл', 'region_type': 'обл', 'region_type_full': 'область', 'region': 'Томская', 'area_fias_id': None, 'area_kladr_id': None, 'area_with_type': None, 'area_type': None, 'area_type_full': None, 'area': None, 'city_fias_id': 'e3b0eae8-a4ce-4779-ae04-5c0797de66be', 'city_kladr_id': '7000000100000', 'city_with_type': 'г Томск', 'city_type': 'г', 'city_type_full': 'город', 'city': 'Томск', 'city_area': None, 'city_district_fias_id': None, 'city_district_kladr_id': None, 'city_district_with_type': None, 'city_district_type': None, 'city_district_type_full': None, 'city_district': None, 'settlement_fias_id': None, 'settlement_kladr_id': None, 'settlement_with_type': None, 'settlement_type': None, 'settlement_type_full': None, 'settlement': None, 'street_fias_id': '81a61952-a410-4d86-b47a-f968a69bd517', 'street_kladr_id': '70000001000046700', 'street_with_type': 'ул Мокрушина', 'street_type': 'ул', 'street_type_full': 'улица', 'street': 'Мокрушина', 'stead_fias_id': None, 'stead_kladr_id': None, 'stead_cadnum': None, 'stead_type': None, 'stead_type_full': None, 'stead': None, 'house_fias_id': '6e396a9e-6b4c-49be-b784-eef35291d6bc', 'house_kladr_id': '7000000100004670134', 'house_cadnum': '70:21:0200027:3004', 'house_type': 'д', 'house_type_full': 'дом', 'house': '12А', 'block_type': None, 'block_type_full': None, 'block': None, 'entrance': None, 'floor': None, 'flat_fias_id': None, 'flat_cadnum': None, 'flat_type': None, 'flat_type_full': None, 'flat': None, 'flat_area': None, 'square_meter_price': '89145', 'flat_price': None, 'postal_box': None, 'fias_id': '6e396a9e-6b4c-49be-b784-eef35291d6bc', 'fias_code': '70000001000000004670134', 'fias_level': '8', 'fias_actuality_state': '0', 'kladr_id': '7000000100004670134', 'capital_marker': '2', 'okato': '69401000000', 'oktmo': '69701000001', 'tax_office': '7000', 'tax_office_legal': '7000', 'timezone': 'UTC+7', 'geo_lat': '56.4511289', 'geo_lon': '84.9870267', 'beltway_hit': None, 'beltway_distance': None, 'qc_geo': 0, 'qc_complete': 5, 'qc_house': 2, 'qc': 0, 'unparsed_parts': None, 'metro': None}",56.4511289,84.9870267,Мокрушина,12А,0,"г Томск, ул Мокрушина, д 12А",0,286789400
436,6a9951b0-b94e-4291-a33a-440864c98cda,"{'source': 'Томская область; Томск; р-н Кировский; улица Мокрушина; 20/1', 'result': 'г Томск, ул Мокрушина, д 20/1', 'postal_code': '634045', 'country': 'Россия', 'country_iso_code': 'RU', 'federal_district': 'Сибирский', 'region_fias_id': '889b1f3a-98aa-40fc-9d3d-0f41192758ab', 'region_kladr_id': '7000000000000', 'region_iso_code': 'RU-TOM', 'region_with_type': 'Томская обл', 'region_type': 'обл', 'region_type_full': 'область', 'region': 'Томская', 'area_fias_id': None, 'area_kladr_id': None, 'area_with_type': None, 'area_type': None, 'area_type_full': None, 'area': None, 'city_fias_id': 'e3b0eae8-a4ce-4779-ae04-5c0797de66be', 'city_kladr_id': '7000000100000', 'city_with_type': 'г Томск', 'city_type': 'г', 'city_type_full': 'город', 'city': 'Томск', 'city_area': None, 'city_district_fias_id': None, 'city_district_kladr_id': None, 'city_district_with_type': None, 'city_district_type': None, 'city_district_type_full': None, 'city_district': None, 'settlement_fias_id': None, 'settlement_kladr_id': None, 'settlement_with_type': None, 'settlement_type': None, 'settlement_type_full': None, 'settlement': None, 'street_fias_id': '81a61952-a410-4d86-b47a-f968a69bd517', 'street_kladr_id': '70000001000046700', 'street_with_type': 'ул Мокрушина', 'street_type': 'ул', 'street_type_full': 'улица', 'street': 'Мокрушина', 'stead_fias_id': None, 'stead_kladr_id': None, 'stead_cadnum': None, 'stead_type': None, 'stead_type_full': None, 'stead': None, 'house_fias_id': '6a9951b0-b94e-4291-a33a-440864c98cda', 'house_kladr_id': '7000000100004670192', 'house_cadnum': '70:21:0200027:11348', 'house_type': 'д', 'house_type_full': 'дом', 'house': '20/1', 'block_type': None, 'block_type_full': None, 'block': None, 'entrance': None, 'floor': None, 'flat_fias_id': None, 'flat_cadnum': None, 'flat_type': None, 'flat_type_full': None, 'flat': None, 'flat_area': None, 'square_meter_price': '77934', 'flat_price': None, 'postal_box': None, 'fias_id': '6a9951b0-b94e-4291-a33a-440864c98cda', 'fias_code': '70000001000000004670192', 'fias_level': '8', 'fias_actuality_state': '0', 'kladr_id': '7000000100004670192', 'capital_marker': '2', 'okato': '69401000000', 'oktmo': '69701000001', 'tax_office': '7000', 'tax_office_legal': '7000', 'timezone': 'UTC+7', 'geo_lat': '56.4519372', 'geo_lon': '84.9888578', 'beltway_hit': None, 'beltway_distance': None, 'qc_geo': 0, 'qc_complete': 5, 'qc_house': 2, 'qc': 0, 'unparsed_parts': None, 'metro': None}",56.4519372,84.9888578,Мокрушина,20/1,0,"г Томск, ул Мокрушина, д 20/1",0,286789399
437,967da3b8-fc86-49c3-a126-26c46acbdec8,"{'source': 'Томская область; Томск; р-н Советский; Колхозная улица; 11', 'result': 'г Томск, ул Колхозная, д 11', 'postal_code': '634021', 'country': 'Россия', 'country_iso_code': 'RU', 'federal_district': 'Сибирский', 'region_fias_id': '889b1f3a-98aa-40fc-9d3d-0f41192758ab', 'region_kladr_id': '7000000000000', 'region_iso_code': 'RU-TOM', 'region_with_type': 'Томская обл', 'region_type': 'обл', 'region_type_full': 'область', 'region': 'Томская', 'area_fias_id': None, 'area_kladr_id': None, 'area_with_type': None, 'area_type': None, 'area_type_full': None, 'area': None, 'city_fias_id': 'e3b0eae8-a4ce-4779-ae04-5c0797de66be', 'city_kladr_id': '7000000100000', 'city_with_type': 'г Томск', 'city_type': 'г', 'city_type_full': 'город', 'city': 'Томск', 'city_area': None, 'city_district_fias_id': None, 'city_district_kladr_id': None, 'city_district_with_type': None, 'city_district_type': None, 'city_district_type_full': None, 'city_district': None, 'settlement_fias_id': None, 'settlement_kladr_id': None, 'settlement_with_type': None, 'settlement_type': None, 'settlement_type_full': None, 'settlement': None, 'street_fias_id': 'c3d7885d-f178-450c-afd6-0a0bf224c153', 'street_kladr_id': '70000001000034500', 'street_with_type': 'ул Колхозная', 'street_type': 'ул', 'street_type_full': 'улица', 'street': 'Колхозная', 'stead_fias_id': None, 'stead_kladr_id': None, 'stead_cadnum': None, 'stead_type': None, 'stead_type_full': None, 'stead': None, 'house_fias_id': '967da3b8-fc86-49c3-a126-26c46acbdec8', 'house_kladr_id': '7000000100003450007', 'house_cadnum': None, 'house_type': 'д', 'house_type_full': 'дом', 'house': '11', 'block_type': None, 'block_type_full': None, 'block': None, 'entrance': None, 'floor': None, 'flat_fias_id': None, 'flat_cadnum': None, 'flat_type': None, 'flat_type_full': None, 'flat': None, 'flat_area': None, 'square_meter_price': '56149', 'flat_price': None, 'postal_box': None, 'fias_id': '967da3b8-fc86-49c3-a126-26c46acbdec8', 'fias_code': '70000001000000003450007', 'fias_level': '8', 'fias_actuality_state': '0', 'kladr_id': '7000000100003450007', 'capital_marker': '2', 'okato': '69401000000', 'oktmo': '69701000001', 'tax_office': '7000', 'tax_office_legal': '7000', 'timezone': 'UTC+7', 'geo_lat': '56.4800469', 'geo_lon': '85.0033723', 'beltway_hit': None, 'beltway_distance': None, 'qc_geo': 0, 'qc_complete': 5, 'qc_house': 2, 'qc': 0, 'unparsed_parts': None, 'metro': None}",56.4800469,85.0033723,Колхозная,11,0,"г Томск, ул Колхозная, д 11",0,286789398
443,e1313221-8628-4fbd-8d10-6b8835a9509b,"{'source': 'Калининградская область; Калининград; р-н Центральный; улица Генерал-фельдмаршала Румянцева; 7', 'result': 'г Калининград, ул Генерал-фельдмаршала Румянцева, д 7', 'postal_code': '236006', 'country': 'Россия', 'country_iso_code': 'RU', 'federal_district': 'Северо-Западный', 'region_fias_id': '90c7181e-724f-41b3-b6c6-bd3ec7ae3f30', 'region_kladr_id': '3900000000000', 'region_iso_code': 'RU-KGD', 'region_with_type': 'Калининградская обл', 'region_type': 'обл', 'region_type_full': 'область', 'region': 'Калининградская', 'area_fias_id': None, 'area_kladr_id': None, 'area_with_type': None, 'area_type': None, 'area_type_full': None, 'area': None, 'city_fias_id': 'df679694-d505-4dd3-b514-4ba48c8a97d8', 'city_kladr_id': '3900000100000', 'city_with_type': 'г Калининград', 'city_type': 'г', 'city_type_full': 'город', 'city': 'Калининград', 'city_area': None, 'city_district_fias_id': None, 'city_district_kladr_id': None, 'city_district_with_type': 'р-н Ленинградский', 'city_district_type': 'р-н', 'city_district_type_full': 'район', 'city_district': 'Ленинградский', 'settlement_fias_id': None, 'settlement_kladr_id': None, 'settlement_with_type': None, 'settlement_type': None, 'settlement_type_full': None, 'settlement': None, 'street_fias_id': '0bc600f6-d3ed-4978-9169-efc56a0bc21d', 'street_kladr_id': '39000001000021100', 'street_with_type': 'ул Генерал-фельдмаршала Румянцева', 'street_type': 'ул', 'street_type_full': 'улица', 'street': 'Генерал-фельдмаршала Румянцева', 'stead_fias_id': None, 'stead_kladr_id': None, 'stead_cadnum': None, 'stead_type': None, 'stead_type_full': None, 'stead': None, 'house_fias_id': 'e1313221-8628-4fbd-8d10-6b8835a9509b', 'house_kladr_id': '3900000100002110004', 'house_cadnum': None, 'house_type': 'д', 'house_type_full': 'дом', 'house': '7', 'block_type': None, 'block_type_full': None, 'block': None, 'entrance': None, 'floor': None, 'flat_fias_id': None, 'flat_cadnum': None, 'flat_type': None, 'flat_type_full': None, 'flat': None, 'flat_area': None, 'square_meter_price': '181985', 'flat_price': None, 'postal_box': None, 'fias_id': 'e1313221-8628-4fbd-8d10-6b8835a9509b', 'fias_code': '39000001000000002110004', 'fias_level': '8', 'fias_actuality_state': '0', 'kladr_id': '3900000100002110004', 'capital_marker': '2', 'okato': '27401368000', 'oktmo': '27701000001', 'tax_office': '3900', 'tax_office_legal': '3900', 'timezone': 'UTC+2', 'geo_lat': '54.7146546', 'geo_lon': '20.4845463', 'beltway_hit': None, 'beltway_distance': None, 'qc_geo': 0, 'qc_complete': 5, 'qc_house': 2, 'qc': 0, 'unparsed_parts': None, 'metro': None}",54.7146546,20.4845463,Генерал-фельдмаршала Румянцева,7,0,"г Калининград, ул Генерал-фельдмаршала Румянцева, д 7",0,282955056
444,520223e0-b51a-44fc-9c0f-32b7fea26968,"{'source': 'Калининградская область; Калининград; р-н Московский; Интернациональная улица; 16', 'result': 'г Калининград, ул Интернациональная, д 16', 'postal_code': '236011', 'country': 'Россия', 'country_iso_code': 'RU', 'federal_district': 'Северо-Западный', 'region_fias_id': '90c7181e-724f-41b3-b6c6-bd3ec7ae3f30', 'region_kladr_id': '3900000000000', 'region_iso_code': 'RU-KGD', 'region_with_type': 'Калининградская обл', 'region_type': 'обл', 'region_type_full': 'область', 'region': 'Калининградская', 'area_fias_id': None, 'area_kladr_id': None, 'area_with_type': None, 'area_type': None, 'area_type_full': None, 'area': None, 'city_fias_id': 'df679694-d505-4dd3-b514-4ba48c8a97d8', 'city_kladr_id': '3900000100000', 'city_with_type': 'г Калининград', 'city_type': 'г', 'city_type_full': 'город', 'city': 'Калининград', 'city_area': None, 'city_district_fias_id': None, 'city_district_kladr_id': None, 'city_district_with_type': 'р-н Московский', 'city_district_type': 'р-н', 'city_district_type_full': 'район', 'city_district': 'Московский', 'settlement_fias_id': None, 'settlement_kladr_id': None, 'settlement_with_type': None, 'settlement_type': None, 'settlement_type_full': None, 'settlement': None, 'street_fias_id': 'fb982836-5e53-4c5f-b13e-9abce008bb08', 'street_kladr_id': '39000001000031200', 'street_with_type': 'ул Интернациональная', 'street_type': 'ул', 'street_type_full': 'улица', 'street': 'Интернациональная', 'stead_fias_id': None, 'stead_kladr_id': None, 'stead_cadnum': None, 'stead_type': None, 'stead_type_full': None, 'stead': None, 'house_fias_id': '520223e0-b51a-44fc-9c0f-32b7fea26968', 'house_kladr_id': '3900000100003120130', 'house_cadnum': None, 'house_type': 'д', 'house_type_full': 'дом', 'house': '16', 'block_type': None, 'block_type_full': None, 'block': None, 'entrance': None, 'floor': None, 'flat_fias_id': None, 'flat_cadnum': None, 'flat_type': None, 'flat_type_full': None, 'flat': None, 'flat_area': None, 'square_meter_price': '106255', 'flat_price': None, 'postal_box': None, 'fias_id': '520223e0-b51a-44fc-9c0f-32b7fea26968', 'fias_code': '39000001000000003120130', 'fias_level': '8', 'fias_actuality_state': '0', 'kladr_id': '3900000100003120130', 'capital_marker': '2', 'okato': '27401373000', 'oktmo': '27701000001', 'tax_office': '3900', 'tax_office_legal': '3900', 'timezone': 'UTC+2', 'geo_lat': '54.6695405', 'geo_lon': '20.5043829', 'beltway_hit': None, 'beltway_distance': None, 'qc_geo': 2, 'qc_complete': 5, 'qc_house': 2, 'qc': 0, 'unparsed_parts': None, 'metro': None}",54.6695405,20.5043829,Интернациональная,16,0,"г Калининград, ул Интернациональная, д 16",2,267222056
446,14e06e12-abbe-4132-ab9c-10605a5a7e26,"{'source': 'Калининградская область; Калининград; р-н Московский; Интернациональная улица; 18', 'result': 'г Калининград, ул Интернациональная, д 18', 'postal_code': '236011', 'country': 'Россия', 'country_iso_code': 'RU', 'federal_district': 'Северо-Западный', 'region_fias_id': '90c7181e-724f-41b3-b6c6-bd3ec7ae3f30', 'region_kladr_id': '3900000000000', 'region_iso_code': 'RU-KGD', 'region_with_type': 'Калининградская обл', 'region_type': 'обл', 'region_type_full': 'область', 'region': 'Калининградская', 'area_fias_id': None, 'area_kladr_id': None, 'area_with_type': None, 'area_type': None, 'area_type_full': None, 'area': None, 'city_fias_id': 'df679694-d505-4dd3-b514-4ba48c8a97d8', 'city_kladr_id': '3900000100000', 'city_with_type': 'г Калининград', 'city_type': 'г', 'city_type_full': 'город', 'city': 'Калининград', 'city_area': None, 'city_district_fias_id': None, 'city_district_kladr_id': None, 'city_district_with_type': 'р-н Московский', 'city_district_type': 'р-н', 'city_district_type_full': 'район', 'city_district': 'Московский', 'settlement_fias_id': None, 'settlement_kladr_id': None, 'settlement_with_type': None, 'settlement_type': None, 'settlement_type_full': None, 'settlement': None, 'street_fias_id': 'fb982836-5e53-4c5f-b13e-9abce008bb08', 'street_kladr_id': '39000001000031200', 'street_with_type': 'ул Интернациональная', 'street_type': 'ул', 'street_type_full': 'улица', 'street': 'Интернациональная', 'stead_fias_id': None, 'stead_kladr_id': None, 'stead_cadnum': None, 'stead_type': None, 'stead_type_full': None, 'stead': None, 'house_fias_id': '14e06e12-abbe-4132-ab9c-10605a5a7e26', 'house_kladr_id': '3900000100003120131', 'house_cadnum': None, 'house_type': 'д', 'house_type_full': 'дом', 'house': '18', 'block_type': None, 'block_type_full': None, 'block': None, 'entrance': None, 'floor': None, 'flat_fias_id': None, 'flat_cadnum': None, 'flat_type': None, 'flat_type_full': None, 'flat': None, 'flat_area': None, 'square_meter_price': '104101', 'flat_price': None, 'postal_box': None, 'fias_id': '14e06e12-abbe-4132-ab9c-10605a5a7e26', 'fias_code': '39000001000000003120131', 'fias_level': '8', 'fias_actuality_state': '0', 'kladr_id': '3900000100003120131', 'capital_marker': '2', 'okato': '27401373000', 'oktmo': '27701000001', 'tax_office': '3900', 'tax_office_legal': '3900', 'timezone': 'UTC+2', 'geo_lat': '54.6695405', 'geo_lon': '20.5043829', 'beltway_hit': None, 'beltway_distance': None, 'qc_geo': 2, 'qc_complete': 5, 'qc_house': 2, 'qc': 0, 'unparsed_parts': None, 'metro': None}",54.6695405,20.5043829,Интернациональная,18,0,"г Калининград, ул Интернациональная, д 18",2,263288969
457,48115efd-1356-4194-91c9-03d792592a15,"{'source': 'Калининградская область; Калининград; р-н Ленинградский; Партизанский переулок; 5', 'result': 'г Калининград, пер Партизанский, д 5', 'postal_code': '236040', 'country': 'Россия', 'country_iso_code': 'RU', 'federal_district': 'Северо-Западный', 'region_fias_id': '90c7181e-724f-41b3-b6c6-bd3ec7ae3f30', 'region_kladr_id': '3900000000000', 'region_iso_code': 'RU-KGD', 'region_with_type': 'Калининградская обл', 'region_type': 'обл', 'region_type_full': 'область', 'region': 'Калининградская', 'area_fias_id': None, 'area_kladr_id': None, 'area_with_type': None, 'area_type': None, 'area_type_full': None, 'area': None, 'city_fias_id': 'df679694-d505-4dd3-b514-4ba48c8a97d8', 'city_kladr_id': '3900000100000', 'city_with_type': 'г Калининград', 'city_type': 'г', 'city_type_full': 'город', 'city': 'Калининград', 'city_area': None, 'city_district_fias_id': None, 'city_district_kladr_id': None, 'city_district_with_type': 'р-н Ленинградский', 'city_district_type': 'р-н', 'city_district_type_full': 'район', 'city_district': 'Ленинградский', 'settlement_fias_id': None, 'settlement_kladr_id': None, 'settlement_with_type': None, 'settlement_type': None, 'settlement_type_full': None, 'settlement': None, 'street_fias_id': '2a28a37e-ef6a-43c4-ab15-9a6469b53d14', 'street_kladr_id': '39000001000062900', 'street_with_type': 'пер Партизанский', 'street_type': 'пер', 'street_type_full': 'переулок', 'street': 'Партизанский', 'stead_fias_id': None, 'stead_kladr_id': None, 'stead_cadnum': None, 'stead_type': None, 'stead_type_full': None, 'stead': None, 'house_fias_id': '48115efd-1356-4194-91c9-03d792592a15', 'house_kladr_id': '3900000100006290005', 'house_cadnum': None, 'house_type': 'д', 'house_type_full': 'дом', 'house': '5', 'block_type': None, 'block_type_full': None, 'block': None, 'entrance': None, 'floor': None, 'flat_fias_id': None, 'flat_cadnum': None, 'flat_type': None, 'flat_type_full': None, 'flat': None, 'flat_area': None, 'square_meter_price': '136682', 'flat_price': None, 'postal_box': None, 'fias_id': '48115efd-1356-4194-91c9-03d792592a15', 'fias_code': '39000001000000006290005', 'fias_level': '8', 'fias_actuality_state': '0', 'kladr_id': '3900000100006290005', 'capital_marker': '2', 'okato': '27401368000', 'oktmo': '27701000001', 'tax_office': '3900', 'tax_office_legal': '3900', 'timezone': 'UTC+2', 'geo_lat': '54.7243007', 'geo_lon': '20.510553', 'beltway_hit': None, 'beltway_distance': None, 'qc_geo': 0, 'qc_complete': 5, 'qc_house': 2, 'qc': 0, 'unparsed_parts': None, 'metro': None}",54.7243007,20.510553,Партизанский,5,0,"г Калининград, пер Партизанский, д 5",0,285331686
466,5dd9b8e8-7b7b-4d25-a15d-bd2b5ed0b41b,"{'source': 'Калининградская область; Калининград; р-н Центральный; Новгородская улица; 3Ак5', 'result': 'г Калининград, ул Новгородская, д 3А к 5', 'postal_code': '236013', 'country': 'Россия', 'country_iso_code': 'RU', 'federal_district': 'Северо-Западный', 'region_fias_id': '90c7181e-724f-41b3-b6c6-bd3ec7ae3f30', 'region_kladr_id': '3900000000000', 'region_iso_code': 'RU-KGD', 'region_with_type': 'Калининградская обл', 'region_type': 'обл', 'region_type_full': 'область', 'region': 'Калининградская', 'area_fias_id': None, 'area_kladr_id': None, 'area_with_type': None, 'area_type': None, 'area_type_full': None, 'area': None, 'city_fias_id': 'df679694-d505-4dd3-b514-4ba48c8a97d8', 'city_kladr_id': '3900000100000', 'city_with_type': 'г Калининград', 'city_type': 'г', 'city_type_full': 'город', 'city': 'Калининград', 'city_area': None, 'city_district_fias_id': None, 'city_district_kladr_id': None, 'city_district_with_type': 'р-н Центральный', 'city_district_type': 'р-н', 'city_district_type_full': 'район', 'city_district': 'Центральный', 'settlement_fias_id': None, 'settlement_kladr_id': None, 'settlement_with_type': None, 'settlement_type': None, 'settlement_type_full': None, 'settlement': None, 'street_fias_id': 'b87bcf30-9522-4008-89f9-e8733caca312', 'street_kladr_id': '39000001000057900', 'street_with_type': 'ул Новгородская', 'street_type': 'ул', 'street_type_full': 'улица', 'street': 'Новгородская', 'stead_fias_id': None, 'stead_kladr_id': None, 'stead_cadnum': None, 'stead_type': None, 'stead_type_full': None, 'stead': None, 'house_fias_id': '5dd9b8e8-7b7b-4d25-a15d-bd2b5ed0b41b', 'house_kladr_id': '3900000100005790013', 'house_cadnum': None, 'house_type': 'д', 'house_type_full': 'дом', 'house': '3А', 'block_type': 'к', 'block_type_full': 'корпус', 'block': '5', 'entrance': None, 'floor': None, 'flat_fias_id': None, 'flat_cadnum': None, 'flat_type': None, 'flat_type_full': None, 'flat': None, 'flat_area': None, 'square_meter_price': '115250', 'flat_price': None, 'postal_box': None, 'fias_id': '5dd9b8e8-7b7b-4d25-a15d-bd2b5ed0b41b', 'fias_code': '39000001000000005790013', 'fias_level': '8', 'fias_actuality_state': '0', 'kladr_id': '3900000100005790013', 'capital_marker': '2', 'okato': '27401385000', 'oktmo': '27701000001', 'tax_office': '3900', 'tax_office_legal': '3900', 'timezone': 'UTC+2', 'geo_lat': '54.7209316', 'geo_lon': '20.3770502', 'beltway_hit': None, 'beltway_distance': None, 'qc_geo': 1, 'qc_complete': 5, 'qc_house': 2, 'qc': 0, 'unparsed_parts': None, 'metro': None}",54.7209316,20.3770502,Новгородская,3А,0,"г Калининград, ул Новгородская, д 3А к 5",1,274947166
467,a3977c4d-88b9-457a-95b8-019d635db3a9,"{'source': 'Краснодарский край; Сочи; р-н Центральный; улица Полтавская; 44', 'result': 'Краснодарский край, г Сочи, ул Полтавская, д 44', 'postal_code': '354053', 'country': 'Россия', 'country_iso_code': 'RU', 'federal_district': 'Южный', 'region_fias_id': 'd00e1013-16bd-4c09-b3d5-3cb09fc54bd8', 'region_kladr_id': '2300000000000', 'region_iso_code': 'RU-KDA', 'region_with_type': 'Краснодарский край', 'region_type': 'край', 'region_type_full': 'край', 'region': 'Краснодарский', 'area_fias_id': None, 'area_kladr_id': None, 'area_with_type': None, 'area_type': None, 'area_type_full': None, 'area': None, 'city_fias_id': '79da737a-603b-4c19-9b54-9114c96fb912', 'city_kladr_id': '2300000700000', 'city_with_type': 'г Сочи', 'city_type': 'г', 'city_type_full': 'город', 'city': 'Сочи', 'city_area': None, 'city_district_fias_id': '48909a1e-ec40-409a-91d1-3f7236e0b1e3', 'city_district_kladr_id': None, 'city_district_with_type': 'р-н Центральный', 'city_district_type': 'р-н', 'city_district_type_full': 'район', 'city_district': 'Центральный', 'settlement_fias_id': None, 'settlement_kladr_id': None, 'settlement_with_type': None, 'settlement_type': None, 'settlement_type_full': None, 'settlement': None, 'street_fias_id': '6b03aa66-ed5b-49fc-8d76-c72dd0430d54', 'street_kladr_id': '23000007000142700', 'street_with_type': 'ул Полтавская', 'street_type': 'ул', 'street_type_full': 'улица', 'street': 'Полтавская', 'stead_fias_id': None, 'stead_kladr_id': None, 'stead_cadnum': None, 'stead_type': None, 'stead_type_full': None, 'stead': None, 'house_fias_id': 'a3977c4d-88b9-457a-95b8-019d635db3a9', 'house_kladr_id': '2300000700014270093', 'house_cadnum': None, 'house_type': 'д', 'house_type_full': 'дом', 'house': '44', 'block_type': None, 'block_type_full': None, 'block': None, 'entrance': None, 'floor': None, 'flat_fias_id': None, 'flat_cadnum': None, 'flat_type': None, 'flat_type_full': None, 'flat': None, 'flat_area': None, 'square_meter_price': '165593', 'flat_price': None, 'postal_box': None, 'fias_id': 'a3977c4d-88b9-457a-95b8-019d635db3a9', 'fias_code': '23000007000000014270093', 'fias_level': '8', 'fias_actuality_state': '0', 'kladr_id': '2300000700014270093', 'capital_marker': '0', 'okato': '03426000000', 'oktmo': '03726000001', 'tax_office': '2366', 'tax_office_legal': '2366', 'timezone': 'UTC+3', 'geo_lat': '43.6304243', 'geo_lon': '39.6966796', 'beltway_hit': None, 'beltway_distance': None, 'qc_geo': 0, 'qc_complete': 5, 'qc_house': 2, 'qc': 0, 'unparsed_parts': None, 'metro': None}",43.6304243,39.6966796,Полтавская,44,0,"Краснодарский край, г Сочи, ул Полтавская, д 44",0,267119394
